CBOrder	TrialNum	TrueStrucImage	FoilStrucImage	TrueStrucNum	FoilStrucNum	SideTrueStruc	NodeClick	RTNodeClick	OutcomeImg	StrucSelected	RTStrucSelected	ConfRating	RTConfRating	NodeCondition	SubID
1	999	images/schematics/jpgs/pracStructure1.jpg	images/schematics/jpgs/pracStructure2.jpg	0	0	1	2	11.58408	config3.jpg	1	4.8358	-11.914063	5.084479	3	139
1	1	images/schematics/jpgs/schem16.jpg	images/schematics/jpgs/schem1.jpg	16	1	2	3	6.57872	config4.jpg	2	5.815593	-0.195313	3.706554	3	139
1	2	images/schematics/jpgs/schem128.jpg	images/schematics/jpgs/schem129.jpg	128	129	2	2	4.598251	4_config3.jpg	2	2.288182	72.460938	2.683968	4	139
1	3	images/schematics/jpgs/schem122.jpg	images/schematics/jpgs/schem121.jpg	122	121	2	4	8.374981	4_config26.jpg	2	3.600803	33.59375	1.675721	4	139
1	4	images/schematics/jpgs/schem130.jpg	images/schematics/jpgs/schem133.jpg	130	133	1	4	6.842845	4_config27.jpg	1	1.373131	100	1.89855	4	139
1	5	images/schematics/jpgs/schem7.jpg	images/schematics/jpgs/schem6.jpg	7	6	1	3	4.1725	config4.jpg	2	1.549339	28.515625	1.879797	3	139
1	6	images/schematics/jpgs/schem126.jpg	images/schematics/jpgs/schem127.jpg	126	127	2	4	10.61379	4_config28.jpg	2	3.56951	22.65625	1.112899	4	139
1	7	images/schematics/jpgs/schem9.jpg	images/schematics/jpgs/schem4.jpg	9	4	2	3	1.231389	config4.jpg	1	2.188886	28.125	1.916711	3	139
1	8	images/schematics/jpgs/schem17.jpg	images/schematics/jpgs/schem1.jpg	17	1	1	2	20.03121	config9.jpg	1	1.398878	45.117188	1.483456	3	139
1	9	images/schematics/jpgs/schem11.jpg	images/schematics/jpgs/schem12.jpg	11	12	1	2	2.597198	config3.jpg	1	3.81948	21.289063	1.079441	3	139
1	10	images/schematics/jpgs/schem131.jpg	images/schematics/jpgs/schem128.jpg	131	128	1	1	13.42281	4_config18.jpg	2	6.21773	0.195313	3.598688	4	139
