CBOrder	TrialNum	TrueStrucImage	FoilStrucImage	TrueStrucNum	FoilStrucNum	SideTrueStruc	NodeClick	RTNodeClick	OutcomeImg	StrucSelected	RTStrucSelected	ConfRating	RTConfRating	NodeCondition	SubID
1	999	images/schematics/jpgs/pracStructure1.jpg	images/schematics/jpgs/pracStructure2.jpg	0	0	1	2	7.226841	config3.jpg	1	6.032388	21.09375	6.909975	3	184
1	1	images/schematics/jpgs/schem114.jpg	images/schematics/jpgs/schem119.jpg	114	119	2	2	5.705557	4_config5.jpg	2	6.112833	20.898438	3.175868	4	184
1	2	images/schematics/jpgs/schem5.jpg	images/schematics/jpgs/schem17.jpg	5	17	2	2	5.448489	config9.jpg	2	5.521941	12.695313	4.044943	3	184
1	3	images/schematics/jpgs/schem19.jpg	images/schematics/jpgs/schem11.jpg	19	11	1	2	3.882994	config3.jpg	1	1.561942	-41.210938	2.579132	3	184
1	4	images/schematics/jpgs/schem101.jpg	images/schematics/jpgs/schem102.jpg	101	102	2	4	3.305756	4_config26.jpg	2	3.906325	-19.726563	3.942522	4	184
1	5	images/schematics/jpgs/schem122.jpg	images/schematics/jpgs/schem121.jpg	122	121	1	2	4.394552	4_config2.jpg	1	4.85372	-99.023438	4.484056	4	184
1	6	images/schematics/jpgs/schem11.jpg	images/schematics/jpgs/schem12.jpg	11	12	1	2	5.299125	config3.jpg	2	1.347049	-92.1875	1.766347	3	184
1	7	images/schematics/jpgs/schem4.jpg	images/schematics/jpgs/schem9.jpg	4	9	2	1	3.981409	config2.jpg	2	1.309865	50.78125	2.483375	3	184
1	8	images/schematics/jpgs/schem6.jpg	images/schematics/jpgs/schem7.jpg	6	7	1	2	2.079847	config12.jpg	1	1.613134	100	1.99936	3	184
1	9	images/schematics/jpgs/schem130.jpg	images/schematics/jpgs/schem128.jpg	130	128	2	2	2.710978	4_config2.jpg	1	4.622203	22.460938	2.049656	4	184
1	10	images/schematics/jpgs/schem120.jpg	images/schematics/jpgs/schem115.jpg	120	115	1	4	7.031778	4_config27.jpg	2	4.461396	-83.789063	4.034559	4	184
1	11	images/schematics/jpgs/schem113.jpg	images/schematics/jpgs/schem104.jpg	113	104	1	1	5.5840630000000004	4_config18.jpg	1	4.537745	-29.6875	2.5669400000000002	4	184
1	12	images/schematics/jpgs/schem7.jpg	images/schematics/jpgs/schem4.jpg	7	4	2	1	4.586647	config2.jpg	1	1.850002	14.453125	0.8136553	3	184
1	13	images/schematics/jpgs/schem129.jpg	images/schematics/jpgs/schem128.jpg	129	128	2	4	5.299977	4_config27.jpg	2	3.596836	-86.523438	1.881911	4	184
1	14	images/schematics/jpgs/schem14.jpg	images/schematics/jpgs/schem20.jpg	14	20	1	2	3.101296	config3.jpg	1	0.7897824	47.65625	1.416359	3	184
1	15	images/schematics/jpgs/schem12.jpg	images/schematics/jpgs/schem9.jpg	12	9	2	3	5.918958	config13.jpg	2	5.535387	52.34375	3.666807	3	184
1	16	images/schematics/jpgs/schem126.jpg	images/schematics/jpgs/schem125.jpg	126	125	1	2	2.167174	4_config2.jpg	1	3.894584	-98.632813	4.366908	4	184
1	17	images/schematics/jpgs/schem106.jpg	images/schematics/jpgs/schem107.jpg	106	107	2	2	7.149994	4_config9.jpg	2	1.902949	93.359375	3.801236	4	184
1	18	images/schematics/jpgs/schem9.jpg	images/schematics/jpgs/schem13.jpg	9	13	2	1	1.841805	config7.jpg	1	1.384154	87.109375	1.248381	3	184
1	19	images/schematics/jpgs/schem17.jpg	images/schematics/jpgs/schem1.jpg	17	1	1	1	5.482356	config11.jpg	2	1.060574	100	1.533109	3	184
1	20	images/schematics/jpgs/schem127.jpg	images/schematics/jpgs/schem122.jpg	127	122	1	3	8.88091	4_config11.jpg	1	6.313501	-26.953125	1.699345	4	184
1	21	images/schematics/jpgs/schem126.jpg	images/schematics/jpgs/schem127.jpg	126	127	2	1	9.01933	4_config18.jpg	2	2.394205	-93.359375	0.7991766	4	184
1	22	images/schematics/jpgs/schem5.jpg	images/schematics/jpgs/schem16.jpg	5	16	1	3	2.633512	config4.jpg	1	1.656108	95.3125	1.249475	3	184
1	23	images/schematics/jpgs/schem128.jpg	images/schematics/jpgs/schem131.jpg	128	131	2	4	4.497024	4_config32.jpg	2	10.14676	-93.359375	1.648845	4	184
1	24	images/schematics/jpgs/schem16.jpg	images/schematics/jpgs/schem1.jpg	16	1	1	1	5.107737	config11.jpg	1	1.10717	77.34375	1.365067	3	184
1	25	images/schematics/jpgs/schem133.jpg	images/schematics/jpgs/schem130.jpg	133	130	2	3	1.00852	4_config10.jpg	2	0.8079049	100	0.8159704	4	184
1	26	images/schematics/jpgs/schem118.jpg	images/schematics/jpgs/schem117.jpg	118	117	1	2	7.572675	4_config2.jpg	1	1.603534	-77.734375	1.564694	4	184
1	27	images/schematics/jpgs/schem107.jpg	images/schematics/jpgs/schem103.jpg	107	103	1	2	3.774399	4_config9.jpg	1	1.284925	92.382813	2.117035	4	184
1	28	images/schematics/jpgs/schem13.jpg	images/schematics/jpgs/schem18.jpg	13	18	1	3	1.499463	config4.jpg	2	3.09367	-73.632813	0.8139546	3	184
1	29	images/schematics/jpgs/schem9.jpg	images/schematics/jpgs/schem7.jpg	9	7	2	1	5.824703	config2.jpg	1	1.190807	39.84375	0.5323252	3	184
1	30	images/schematics/jpgs/schem20.jpg	images/schematics/jpgs/schem19.jpg	20	19	1	2	4.823116	config3.jpg	2	3.195025	-18.945313	4.618344	3	184
1	31	images/schematics/jpgs/schem1.jpg	images/schematics/jpgs/schem2.jpg	1	2	1	1	3.332375	config7.jpg	2	3.324049	-35.351563	0.59812	3	184
1	32	images/schematics/jpgs/schem128.jpg	images/schematics/jpgs/schem132.jpg	128	132	2	4	5.281664	4_config27.jpg	2	1.886194	-98.4375	2.649595	4	184
1	33	images/schematics/jpgs/schem18.jpg	images/schematics/jpgs/schem5.jpg	18	5	2	2	1.92244	config9.jpg	1	1.115135	98.046875	2.665006	3	184
1	34	images/schematics/jpgs/schem7.jpg	images/schematics/jpgs/schem3.jpg	7	3	1	3	9.090254	config8.jpg	1	2.941097	-87.304688	2.465933	3	184
1	35	images/schematics/jpgs/schem9.jpg	images/schematics/jpgs/schem2.jpg	9	2	2	2	4.093983	config12.jpg	2	1.156997	-100	0.8311342	3	184
1	36	images/schematics/jpgs/schem117.jpg	images/schematics/jpgs/schem116.jpg	117	116	2	2	6.788617	4_config5.jpg	1	2.854335	-100	1.131983	4	184
1	37	images/schematics/jpgs/schem105.jpg	images/schematics/jpgs/schem113.jpg	105	113	1	3	3.990071	4_config10.jpg	2	2.371015	-100	0.9480691	4	184
1	38	images/schematics/jpgs/schem10.jpg	images/schematics/jpgs/schem17.jpg	10	17	2	1	2.290603	config5.jpg	2	2.670452	0	0.01543147	3	184
1	39	images/schematics/jpgs/schem124.jpg	images/schematics/jpgs/schem123.jpg	124	123	2	3	11.05535	4_config12.jpg	1	3.200418	-100	3.60105	4	184
1	40	images/schematics/jpgs/schem118.jpg	images/schematics/jpgs/schem115.jpg	118	115	1	4	2.087985	4_config27.jpg	1	4.80228	-31.835938	0.8657298	4	184
