nodeCondition,pairNumber,struc1Number,struc2Number,struc1,struc2
3,29,1,2,[0 1 1; 0 0 0; 0 0 0];,[0 0 1; 0 0 0; 0 1 0];
3,31,5,16,[0 0 0; 0 0 1; 0 0 0];,[0 1 1; 0 0 1; 0 0 0];
3,40,6,7,[0 0 0; 1 0 1; 0 0 0];,[0 0 0; 1 0 0; 1 0 0];
3,21,7,3,[0 0 0; 1 0 0; 1 0 0];,[0 0 0; 0 0 1; 1 0 0];
3,22,7,4,[0 0 0; 1 0 0; 1 0 0];,[0 0 0; 1 0 0; 0 0 0];
3,25,7,9,[0 0 0; 1 0 0; 1 0 0];,[0 0 1; 1 0 0; 0 0 0];
3,27,9,2,[0 0 1; 1 0 0; 0 0 0];,[0 0 1; 0 0 0; 0 1 0];
3,24,12,11,[0 0 0; 1 0 0; 0 1 0];,[0 1 0; 0 0 0; 1 0 0];
3,26,9,4,[0 0 1; 1 0 0; 0 0 0];,[0 0 0; 1 0 0; 0 0 0];
3,23,9,12,[0 0 1; 1 0 0; 0 0 0];,[0 0 0; 1 0 0; 0 1 0];
3,28,9,13,[0 0 1; 1 0 0; 0 0 0];,[0 0 1; 0 0 0; 0 0 0];
3,30,14,20,[0 0 0; 0 0 0; 0 1 0];,[0 1 0; 0 0 0; 1 1 0];
3,35,16,1,[0 1 1; 0 0 1; 0 0 0];,[0 1 1; 0 0 0; 0 0 0];
3,32,17,1,[0 1 0; 0 0 1; 0 0 0];,[0 1 1; 0 0 0; 0 0 0];
3,36,17,5,[0 1 0; 0 0 1; 0 0 0];,[0 0 0; 0 0 1; 0 0 0];
3,34,17,10,[0 1 0; 0 0 1; 0 0 0];,[0 1 0; 0 0 0; 0 0 0];
3,38,18,5,[0 0 1; 0 0 1; 0 0 0];,[0 0 0; 0 0 1; 0 0 0];
3,37,18,13,[0 0 1; 0 0 1; 0 0 0];,[0 0 1; 0 0 0; 0 0 0];
3,33,19,20,[0 1 0; 0 0 0; 0 1 0];,[0 1 0; 0 0 0; 1 1 0];
3,39,19,11,[0 1 0; 0 0 0; 0 1 0];,[0 1 0; 0 0 0; 1 0 0];
4,3,101,102,[0 0 0 0; 1 0 1 1; 0 0 0 0; 0 0 0 0];,[0 0 1 0; 1 0 0 1; 0 0 0 0; 0 0 0 0];
4,1,106,107,[0 0 0 1; 1 0 1 0; 0 0 0 1; 0 0 0 0];,[0 0 0 0; 1 0 1 0; 0 0 0 1; 1 0 0 0];
4,5,107,103,[0 0 0 0; 1 0 1 0; 0 0 0 1; 1 0 0 0];,[0 0 1 0; 1 0 0 0; 0 0 0 1; 0 0 0 0];
4,4,113,104,[0 0 0 0; 0 0 1 0; 1 0 0 0; 0 0 1 0];,[0 0 1 0; 1 0 0 0; 0 0 0 0; 0 0 0 0];
4,2,113,105,[0 0 0 0; 0 0 1 0; 1 0 0 0; 0 0 1 0];,[0 0 1 0; 1 0 0 0; 0 0 0 0; 0 0 1 0];
4,8,117,116,[0 0 0 0; 1 0 0 1; 0 1 0 0; 0 0 0 0],[0 1 0 0; 0 0 0 0; 0 1 0 1; 1 0 0 0];
4,9,117,118,[0 0 0 0; 1 0 0 1; 0 1 0 0; 0 0 0 0],[0 0 0 0; 0 0 0 0; 0 0 0 1; 1 1 0 0];
4,7,118,115,[0 0 0 0; 0 0 0 0; 0 0 0 1; 1 1 0 0];,[0 0 0 0; 0 0 0 1; 0 1 0 0; 1 0 0 0];
4,10,119,114,[0 0 0 0; 1 0 0 0; 0 0 0 1; 0 1 0 0];,[0 0 0 0; 0 0 0 1; 1 1 0 0; 0 0 0 0];
4,6,120,115,[0 0 0 1; 0 0 0 0; 0 0 0 1; 0 1 0 0];,[0 0 0 0; 0 0 0 1; 0 1 0 0; 1 0 0 0];
4,11,121,122,[0 0 0 0; 0 0 0 0; 0 0 0 0; 1 1 1 0];,[0 1 0 0; 0 0 0 0; 1 0 0 0; 0 0 1 0];
4,15,123,124,[0 0 0 0; 0 0 0 0; 1 0 0 0; 0 0 1 0];,[0 0 0 0; 1 0 0 0; 1 0 0 0; 0 0 1 0];
4,14,125,126,[0 1 0 0; 0 0 0 0; 0 1 0 0; 1 0 1 0];,[0 0 0 0; 0 0 0 0; 1 1 0 0; 0 0 1 0];
4,12,127,122,[0 0 1 0; 0 0 0 0; 0 1 0 0; 1 0 0 0];,[0 1 0 0; 0 0 0 0; 1 0 0 0; 0 0 1 0];
4,13,127,126,[0 0 1 0; 0 0 0 0; 0 1 0 0; 1 0 0 0];,[0 0 0 0; 0 0 0 0; 1 1 0 0; 0 0 1 0];
4,18,128,129,[0 0 0 1; 0 0 1 0; 0 0 0 0; 0 1 0 0];,[0 0 0 1; 0 0 0 0; 0 0 0 0; 0 1 0 0];
4,17,128,132,[0 0 0 1; 0 0 1 0; 0 0 0 0; 0 1 0 0];,[0 0 0 1; 0 0 0 0; 0 1 0 0; 0 0 1 0];
4,16,130,128,[0 0 0 1; 0 0 0 0; 0 1 0 0; 0 1 0 0];,[0 0 0 1; 0 0 1 0; 0 0 0 0; 0 1 0 0];
4,20,130,133,[0 0 0 1; 0 0 0 0; 0 1 0 0; 0 1 0 0];,[0 0 0 0; 0 0 0 0; 0 0 0 0; 0 0 1 0];
4,19,131,128,[0 0 0 1; 0 0 0 0; 0 0 0 0; 0 1 1 0];,[0 0 0 1; 0 0 1 0; 0 0 0 0; 0 1 0 0];
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
